"toolkit","growth_rate","search_results","log.search_results"
"apache singa",0.6,233,5.4553211153577
"bigdl",0.791176470588,1490,7.30720231476474
"caffe",0.575757575758,46300,10.7429188381132
"caffe2",1.08641975309,3690,8.21365270303
"chainer",0.95652173913,6590,8.79346036105272
"cntk",1.23622047244,7830,8.96584549475094
"deeplearning4j",0.280701754386,8550,9.05380351415596
"dlib",1.20948616601,2230,7.71020519443253
"dynet",0.660550458716,585,6.37331978957701
"keras",0.962264150943,30800,10.3353024359671
"lasagne",0.548076923077,3350,8.11701408773731
"matconvnet",0.368421052632,2820,7.944846711002
"mxnet",1.07171314741,18400,9.82016028994637
"nervana neon",0.0232558139535,223,5.41164605185504
"nvidia digits",0.302139037433,2320,7.74975340627444
"opennn",-0.233333333333,506,6.22851100359118
"paddlepaddle",0.943127962085,1150,7.04838640872188
"pytorch",2.36036036036,7740,8.95428615720471
"sonnet",2.72440944882,1920,7.56060116276856
"tensorflow",1.28057553957,98500,11.4978219793929
"tflearn",-0.104,2060,7.63094658089046
"theano",1.13043478261,28400,10.254179634797
"torch",0.923954372624,18000,9.7981825908907
